년도,구,주민 1인당 생활폐기물(쓰레기) 배출량(㎏/인/일),생활폐기물 배출량(톤/일),주민수(명)
2017,강남구,1.26,708.3,561052
2017,송파구,0.82,550.3,671173
2017,강동구,0.85,375,440359
2018,계,0.94,9492.9,10049607
2018,종로구,2.22,362.7,163026
2018,중구,3.17,429.7,135633
2018,용산구,1.18,288.4,245090
2018,성동구,0.85,270,316463
2018,광진구,0.92,342.5,371063
2018,동대문구,1.14,416.3,364338
2018,중랑구,0.96,391.9,408147
2018,성북구,0.78,348.5,447687
2018,강북구,0.71,230.6,322915
2018,도봉구,0.75,255.7,341649
2018,노원구,0.85,467.2,548160
2018,은평구,0.68,333.3,487666
2018,서대문구,0.88,285.3,323080
2018,마포구,1.14,439.5,386359
2018,양천구,0.64,297.7,468145
2018,강서구,0.8,480,603611
2018,구로구,0.73,319.4,438486
2018,금천구,0.98,248.8,254021
2018,영등포구,0.83,335.3,403600
2018,동작구,0.71,290.6,409385
2018,관악구,0.84,436.8,520040
2018,서초구,1.29,563.7,438163
2018,강남구,1.24,677.1,547453
2018,송파구,0.91,611.8,673507
2018,강동구,0.86,370.1,431920
